what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110207,"org.eclipse.jdt.launching",1320959869405
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui",1320959869405
started,bundle,org.eclipse.jface,3.7.0.I20110309-1300,"org.eclipse.jface",1320959869405
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1320959869405
started,bundle,org.eclipse.jsch.core,1.1.300.I20110118-0800,"org.eclipse.jsch.core",1320959869405
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110306-1700,"org.eclipse.ltk.core.refactoring",1320959869406
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110307-2000a,"org.eclipse.ltk.ui.refactoring",1320959869406
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1320959869406
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1320959869406
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1320959869406
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1320959869407
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1320959869407
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1320959869409
started,bundle,org.eclipse.mylyn.github.ui,1.0.0.201106220257-r,"org.eclipse.mylyn.github.ui",1320959869410
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1320959869411
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1320959869411
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1320959869413
started,bundle,org.eclipse.team.core,3.6.0.I20110301-0800,"org.eclipse.team.core",1320959869413
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110301-0800,"org.eclipse.team.cvs.core",1320959869413
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110301-0800,"org.eclipse.team.cvs.ui",1320959869413
started,bundle,org.eclipse.team.ui,3.6.100.I20110301-0800,"org.eclipse.team.ui",1320959869414
started,bundle,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui",1320959869414
started,bundle,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console",1320959869414
started,bundle,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.editors",1320959869414
started,bundle,org.eclipse.ui.forms,3.5.100.v20110221,"org.eclipse.ui.forms",1320959869415
started,bundle,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.ide",1320959869415
started,bundle,org.eclipse.ui.net,1.2.100.I20110208-0800,"org.eclipse.ui.net",1320959869415
started,bundle,org.eclipse.ui.views,3.6.0.I20110215-0800,"org.eclipse.ui.views",1320959869415
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"org.eclipse.ui.workbench",1320959869415
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.workbench.texteditor",1320959869415
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320959869415
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1320959869416
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320959869416
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1320959869416
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1320959869416
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1320959869416
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1320959869416
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1320959869416
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1320959869416
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1320959869416
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1320959869416
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1320959869416
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1320959869416
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1320959869416
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1320959869416
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1320959869416
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1320959869416
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1320959869416
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1320959869416
